ymd,hm,ta,weekday,weekend,max_power,spring,summer,autoum,winter,CDD,HDD,multiple_season
2019-01-01,59.88597883597884,-3.280564373897707,0,1,65493.0,0,0,0,1,0.0,20.441560846560847,-5000.2550325467955
2019-01-02,65.94858906525573,-5.109382716049383,1,0,82437.0,0,0,0,1,0.0,20.58064814814815,11194.334105467475
2019-01-03,62.4005291005291,-5.431358024691359,1,0,84196.0,0,0,0,1,0.0,19.91609347442681,13361.689378546878
2019-01-04,63.00511463844797,-4.773677248677249,1,0,84746.0,0,0,0,1,0.0,19.495,13321.07340185573
2019-01-05,53.78240740740741,-0.4461375661375661,0,1,69496.0,0,0,0,1,0.0,18.848924162257497,-3747.707954972082
2019-01-06,49.20229276895944,-0.7194532627865962,0,1,66493.0,0,0,0,1,0.0,18.98405643738977,-6102.200601033275
2019-01-07,66.65158730158731,-4.230511463844797,1,0,84074.0,0,0,0,1,0.0,19.037041446208114,9766.86680082617
2019-01-08,63.047442680776015,-2.366296296296296,1,0,83818.0,0,0,0,1,0.0,18.971521164021162,10748.333681191856
2019-01-09,45.00035273368607,-6.820784832451499,1,0,85392.0,0,0,0,1,0.0,21.520652557319224,14479.097553847678
2019-01-10,42.1083774250441,-1.717125220458554,1,0,83833.0,0,0,0,1,0.0,18.39873015873016,13648.870039508838
2019-01-11,77.50617283950618,-0.4842063492063491,1,0,81941.0,0,0,0,1,0.0,15.283007054673721,12476.364709084697
2019-01-12,77.03015873015873,2.511278659611993,0,1,68147.0,0,0,0,1,0.0,14.038699294532627,268.6721656983227
2019-01-13,82.5257495590829,-0.5514902998236333,0,1,64545.0,0,0,0,1,0.0,15.898478835978835,-2607.0183162054327
2019-01-14,89.06472663139328,-2.0853439153439157,1,0,81783.0,0,0,0,1,0.0,16.722208994708996,13609.990058504853
2019-01-15,77.66534391534391,0.3535978835978836,1,0,81378.0,0,0,0,1,0.0,18.343800705467373,11446.298319431438
2019-01-16,59.41181657848324,-7.002892416225749,1,0,84401.0,0,0,0,1,0.0,22.28225749559083,14603.261972284043
2019-01-17,67.08694885361552,-0.6406701940035273,1,0,82611.0,0,0,0,1,0.0,17.498289241622576,13851.622750838116
2019-01-18,66.18059964726632,-2.795767195767196,1,0,81668.0,0,0,0,1,0.0,16.805273368606702,11706.470313654989
2019-01-19,74.00970017636683,-0.2718606701940035,0,1,67950.0,0,0,0,1,0.0,15.020277777777778,-630.6403406799873
2019-01-20,48.776278659612,-3.062910052910053,0,1,65830.0,0,0,0,1,0.0,18.039739858906525,-2971.6054567562223
2019-01-21,61.34303350970018,-3.1410405643738977,1,0,82668.0,0,0,0,1,0.0,17.86891975308642,12323.177922941399
2019-01-22,79.20631528964863,-0.5769488536155203,1,0,81134.0,0,0,0,1,0.0,15.304810405643739,10414.271721170022
2019-01-23,84.29705603038936,0.586031746031746,1,0,80794.0,0,0,0,1,0.0,14.335405643738977,9350.90256623907
2019-01-24,51.65802469135802,-2.5459435626102294,1,0,80239.0,0,0,0,1,0.0,17.166754850088182,6158.095778220341
2019-01-25,57.0404761904762,-2.2122574955908285,1,0,81007.0,0,0,0,1,0.0,18.262495590828923,8160.917088560815
2019-01-26,50.00890652557319,-5.104708994708995,0,1,68954.0,0,0,0,1,0.0,19.62891093474427,-4885.07422400303
2019-01-27,57.41340388007055,-4.038509700176366,0,1,65189.0,0,0,0,1,0.0,18.859007936507936,-11447.006203412784
2019-01-28,66.25229276895944,2.279673721340388,1,0,80399.0,0,0,0,1,0.0,16.312429453262787,6417.312343383392
2019-01-29,54.66825396825397,-3.25010582010582,1,0,81215.0,0,0,0,1,0.0,17.6885582010582,8819.599883372179
2019-01-30,64.21031746031746,-1.0665079365079366,1,0,80741.0,0,0,0,1,0.0,15.506318342151676,8379.043607138476
2019-01-31,62.26234567901234,-0.2234744268077602,1,0,83652.0,0,0,0,1,0.0,18.49142857142857,11944.446689682465
2019-02-01,50.3,-4.4350000000000005,1,0,80556.0,0,0,0,1,0.0,20.0375,9250.023655486104
2019-02-02,62.95,-1.455,0,1,67202.0,0,0,0,1,0.0,16.165,-4059.8419313638155
2019-02-03,63.2,4.27,0,1,60334.0,0,0,0,1,0.0,14.32,-9489.240283382751
2019-02-04,74.6,1.735,0,1,57603.0,0,0,0,1,0.0,17.965,-5616.694671020059
2019-02-05,44.5,3.255,0,1,55340.0,0,0,0,1,0.0,14.6875,-6313.348899513365
2019-02-06,89.05,5.51,0,1,56835.0,0,0,0,1,0.0,12.5625,-4712.285086324185
